,Age,Attrition,BusinessTravelFrequency,DistanceFromHome,EmpEducationLevel,EmpID,Gender,EmpJobInvolvement,EmpJobLevel,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,EmpLastSalaryHikePercent,PerformanceRating,EmpRelationshipSatisfaction,StockOptionLevel,TotalWorkExperience,TrainingTime,EmpWorkLifeBalance,ExperienceYearsAtThisCompany,ExperienceYearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
0,41,Yes,Travel_Rarely,1,2,1,Female,3,2,4,Single,5993,8,Yes,11,3,1,0,8,0,1,6,4,0,5
1,49,No,Travel_Frequently,8,1,2,Male,2,2,2,Married,5130,1,No,23,4,4,1,10,3,3,10,7,1,7
2,37,Yes,Travel_Rarely,2,2,4,Male,2,1,3,Single,2090,6,Yes,15,3,2,0,7,3,3,0,0,0,0
3,33,No,Travel_Frequently,3,4,5,Female,3,1,3,Married,2909,1,Yes,11,3,3,0,8,3,3,8,7,3,0
4,27,No,Travel_Rarely,2,1,7,Male,3,1,2,Married,3468,9,No,12,3,4,1,6,3,3,2,2,2,2
5,32,No,Travel_Frequently,2,2,8,Male,3,1,4,Single,3068,0,No,13,3,3,0,8,2,2,7,7,3,6
6,59,No,Travel_Rarely,3,3,10,Female,4,1,1,Married,2670,4,Yes,20,4,1,3,12,3,2,1,0,0,0
7,30,No,Travel_Rarely,24,1,11,Male,3,1,3,Divorced,2693,1,No,22,4,2,1,1,2,3,1,0,0,0
8,38,No,Travel_Frequently,23,3,12,Male,2,3,3,Single,9526,0,No,21,4,2,0,10,2,3,9,7,1,8
9,36,No,Travel_Rarely,27,3,13,Male,3,2,3,Married,5237,6,No,13,3,2,2,17,3,2,7,7,7,7
10,35,No,Travel_Rarely,16,3,14,Male,4,1,2,Married,2426,0,No,13,3,3,1,6,5,3,5,4,0,3
11,29,No,Travel_Rarely,15,2,15,Female,2,2,3,Single,4193,0,Yes,12,3,4,0,10,3,3,9,5,0,8
12,31,No,Travel_Rarely,26,1,16,Male,3,1,3,Divorced,2911,1,No,17,3,4,1,5,1,2,5,2,4,3
13,34,No,Travel_Rarely,19,2,18,Male,3,1,4,Divorced,2661,0,No,11,3,3,1,3,2,3,2,2,1,2
14,28,Yes,Travel_Rarely,24,3,19,Male,2,1,3,Single,2028,5,Yes,14,3,2,0,6,4,3,4,2,0,3
15,29,No,Travel_Rarely,21,4,20,Female,4,3,1,Divorced,9980,1,No,11,3,3,1,10,1,3,10,9,8,8
16,32,No,Travel_Rarely,5,2,21,Male,4,1,2,Divorced,3298,0,Yes,12,3,4,2,7,5,2,6,2,0,5
17,22,No,Non-Travel,16,2,22,Male,4,1,4,Divorced,2935,1,Yes,13,3,2,2,1,2,2,1,0,0,0
18,53,No,Travel_Rarely,2,4,23,Female,2,4,4,Married,15427,2,No,16,3,3,0,31,3,3,25,8,3,7
19,38,No,Travel_Rarely,2,3,24,Male,3,1,4,Single,3944,5,Yes,11,3,3,0,6,3,3,3,2,1,2
